category, class, id, samples, can_pred, fib_pred
dataset, fibro, 401, 57, 24, 33,
dataset, fibro, 402, 50, 10, 40,
dataset, fibro, 403, 61, 15, 46,
dataset, fibro, 406, 45, 17, 28,
dataset, fibro, 407, 49, 16, 33,
dataset, fibro, 418, 55, 33, 22,
dataset, fibro, 419, 38, 4, 34,
dataset, fibro, 422, 57, 20, 37,
dataset, fibro, 423, 51, 33, 18,
dataset, fibro, 424, 54, 17, 37,
dataset, fibro, 434, 50, 21, 29,
dataset, fibro, 435, 47, 9, 38,
dataset, fibro, 440, 46, 4, 42,
dataset, fibro, 443, 45, 18, 27,
dataset, fibro, 459, 58, 17, 41,
dataset, fibro, 460, 58, 17, 41,
dataset, fibro, 464, 54, 18, 36,
dataset, fibro, 472, 52, 24, 28,
dataset, fibro, 473, 53, 5, 48,
dataset, fibro, 478, 50, 30, 20,
dataset, fibro, 486, 55, 27, 28,
dataset, fibro, 490, 54, 28, 26,
dataset, fibro, 491, 50, 18, 32,
dataset, fibro, 494, 39, 33, 6,
dataset, fibro, 496, 49, 8, 41,
dataset, fibro, 498, 52, 8, 44,
dataset, fibro, 499, 48, 0, 48,
dataset, fibro, 500, 50, 7, 43,
dataset, fibro, 501, 50, 1, 49,
dataset, fibro, 506, 56, 41, 15,
dataset, fibro, 507, 80, 53, 27,
dataset, fibro, 509, 61, 11, 50,
dataset, fibro, 510, 67, 21, 46,
correct: 26 / 33
