category, class, id, samples, can_pred, fib_pred
train, fibro, 401, 44, 21, 23,
train, fibro, 402, 40, 6, 34,
train, fibro, 403, 50, 13, 37,
train, fibro, 406, 37, 12, 25,
train, fibro, 407, 35, 12, 23,
train, fibro, 418, 45, 28, 17,
train, fibro, 419, 26, 2, 24,
train, fibro, 422, 48, 14, 34,
train, fibro, 423, 43, 28, 15,
train, fibro, 424, 47, 15, 32,
train, fibro, 434, 38, 16, 22,
train, fibro, 435, 41, 9, 32,
train, fibro, 440, 37, 4, 33,
train, fibro, 443, 36, 15, 21,
train, fibro, 459, 50, 16, 34,
train, fibro, 460, 51, 15, 36,
train, fibro, 464, 45, 17, 28,
train, fibro, 472, 43, 18, 25,
train, fibro, 473, 41, 2, 39,
train, fibro, 478, 37, 22, 15,
train, fibro, 486, 49, 23, 26,
train, fibro, 490, 39, 19, 20,
train, fibro, 491, 41, 15, 26,
train, fibro, 494, 29, 25, 4,
train, fibro, 496, 38, 7, 31,
train, fibro, 498, 36, 4, 32,
train, fibro, 499, 36, 0, 36,
train, fibro, 500, 35, 5, 30,
train, fibro, 501, 36, 1, 35,
train, fibro, 506, 48, 36, 12,
train, fibro, 507, 72, 48, 24,
train, fibro, 509, 47, 10, 37,
train, fibro, 510, 52, 16, 36,
correct: 27 / 33
